"Tarih","PM10","SO2","NO2","O3"
"2017/11/1","5.111898","3.321727","13.34908","50.43115"
"2017/11/1","5.583213","3.305647","9.342576","56.59565"
"2017/11/1","1.889236","3.413897","6.979157","62.69096"
"2017/11/1","1.559876","3.251242","9.427543","54.18924"
"2017/11/1","6.112325","3.218478","7.552019","55.19984"
"2017/11/1","6.775701","3.307263","10.6378","48.6744"
"2017/11/1","4.77605","3.357917","11.97583","44.04924"
"2017/11/1","2.775701","2.951764","8.031122","48.07167"
"2017/11/1","1.226686","3.013141","2.502457","55.60897"
"2017/11/1","3","2.942642","1.716663","49.33873"
"2017/11/1","2.664306","3.237189",,"59.23395"
"2017/11/1","0.335694","3.126569","1.595828","68.67886"
"2017/11/1","3.447592","2.9945","1.732267","65.63081"
"2017/11/1","7","3.018141","1.839763","59.27913"
"2017/11/1","6.666667","3.153005","4.909274","51.33574"
"2017/10/31","4","3.341494","5.799828","48.96514"
"2017/10/31","4.110638","3.397311","6.802197","43.67844"
"2017/10/31","5","3.277555","5.092439","52.42135"
"2017/10/31","4.889362","3.63407","7.656396","45.43133"
"2017/10/31","3.776204","3.823352","8.155886","54.8966"
"2017/10/31","2.433735","3.573308","7.273624","59.85961"
"2017/10/31","6.561623","3.776892","11.28403","50.21745"
"2017/10/31","10.88803","3.046605","11.16043","57.41204"
"2017/10/31","9.889235","3.166772","7.899427","49.53053"
"2017/10/31","9","3.197166","8.131725","46.74453"
"2017/10/31","8.659409","3.136994","7.6645","56.14517"
"2017/10/31","5.881382","3.076425","8.459603","58.36674"
"2017/10/31","5.111898","3.102847","8.361431","58.77025"
"2017/10/31","5.776204","3.016061","7.257261","62.48407"
"2017/10/31","4","3.110805","6.400204","59.99123"
"2017/10/31","3.776204","3.135639","13.21983","43.0073"
"2017/10/31","2","3.118366","7.594622","56.73128"
"2017/10/31",,"2.955314","1.677515","61.39882"
"2017/10/31",,"3.016691","1.199243","65.39793"
"2017/10/31","1","2.910442","1.278748","65.64777"
"2017/10/31",,"3.052059","1.601044","72.1983"
"2017/10/31",,"3.046306","1.627575","71.01625"
"2017/10/31",,"3.121189","2.109757","70.48158"
"2017/10/31","2.218705","3.0777","3.164374","66.38844"
"2017/10/30","4.339009","3.189525","3.186046","72.90798"
"2017/10/30","7.11215","3.370864","5.700378","54.26567"
"2017/10/30","8","3.328964","5.118542","59.28761"
"2017/10/30","7.8875","3.433638","5.027721","58.12968"
"2017/10/30","7","3.394519","8.034563","46.5998"
"2017/10/30","7.224299","3.544875","12.7617","39.51117"
"2017/10/30","9.114161","2.988969","8.846261","51.34869"
"2017/10/30","9.888102","3.442803","9.824769","60.86825"
"2017/10/30","9.111898","3.348866","10.01423","52.88647"
"2017/10/30","10.33191","3.0448","8.775723","57.04737"
"2017/10/30","14.35785","3.140339","10.30163","39.52041"
"2017/10/30","26.35785","3.245014","10.93253","45.09015"
"2017/10/30","36.33617","3.957042","16.87167","19.82668"
"2017/10/30","32.34278","3.847216","16.96483","16.71435"
"2017/10/30","39.31259","3.311569","14.18228","20.10588"
"2017/10/30","9.558699","3.650208","17.38533","17.60639"
"2017/10/30","6","3.145544","9.923738","27.17063"
"2017/10/30","6","2.988052","3.487138","33.45381"
"2017/10/30","7.087613","3.019241","2.840031","39.88587"
"2017/10/30","15.20529","3.096905","2.738371","45.11122"
"2017/10/30","9.335925","3.082414","2.574887","50.14245"
"2017/10/30","12.56677","2.976561","2.669658","50.90518"
"2017/10/30","17.55988","2.908047","4.431222","40.75517"
"2017/10/30","21.77188","2.9444","5.960784","36.45692"
"2017/10/29","20.47407","2.971616","9.136064","30.04651"
"2017/10/29","23.77401","3.035378","8.822169","35.26982"
"2017/10/29","21.66054","3.042733","9.302258","33.1463"
"2017/10/29","20.471","3.156544","13.44606","26.29615"
"2017/10/29","33.35785","3.144436","10.00731","45.53728"
"2017/10/29","46.26308","3.473542","13.88266","29.17374"
"2017/10/29","64.33946","3.544055","22.1116","6.565645"
"2017/10/29","65.07638","3.525194","20.012","5.146716"
"2017/10/29","49.21671","3.631458","17.99336","9.437204"
"2017/10/29","43.45262","3.228483","11.12297","24.11051"
"2017/10/29","45.30269","3.188967","9.918878","28.58657"
"2017/10/29","31.20792","3.28093","12.58226","18.40625"
"2017/10/29","25.21583","3.106756","8.764853","29.63614"
"2017/10/29","26.09176","3.163764","7.1405","38.625"
"2017/10/29","18.65888","2.980453","4.854646","41.7293"
"2017/10/29","15.09034","3.173311","10.84211","27.42675"
"2017/10/29","8","3.012244","8.632543","33.81428"
"2017/10/29","8.227414","2.982261","4.473632","39.54933"
"2017/10/29","10","3.087333","2.916569","41.30453"
"2017/10/29",,,,
"2017/10/29","12.22695","3.212075","3.660959","45.1956"
"2017/10/29","15.47309","3.239292","4.944645","42.64811"
"2017/10/29","27","3.368992","6.257853","39.75255"
"2017/10/29","26.32011","4.494925","14.21697","24.67915"
"2017/10/28","22.81303","3.747161","15.18193","19.95292"
"2017/10/28","36.5461","3.580533","10.6323","23.91555"
"2017/10/28","37.64589","3.50765","11.4172","18.61023"
"2017/10/28","72.4136","3.671114","17.37952","4.389064"
"2017/10/28","58.64023","4.524552","20.40122","3.964532"
"2017/10/28","47.09348","4.082252","17.82112","4.383619"
"2017/10/28","38.78701","3.306683","14.5354","2.67115"
"2017/10/28","28.88768","2.988316","15.39616","8.013246"
"2017/10/28","27.09034","3.038969","17.39639","15.31229"
"2017/10/28","19.32605","2.996672","17.14406","13.83268"
"2017/10/28","14.11215","2.873342","10.809","28.95854"
"2017/10/28","16.47819","3.24495","9.50621","27.84084"
"2017/10/28","27.03759","3.540689","13.39475","18.10077"
"2017/10/28","19.54674","3.543675","14.20165","8.90277"
"2017/10/28","14.54326","3.227692","10.0837","11.84048"
"2017/10/28","3","3.092842","9.236667","8.54945"
"2017/10/28","2.773371","2.847167","3.63028","20.07779"
"2017/10/28","0.887943","2.802883","1.912815","24.78016"
"2017/10/28","0.339943","2.79435","1.845936","23.74115"
"2017/10/28","3.33617","2.810047","2.021626","23.15291"
"2017/10/28","6.224113","2.911941","2.698234","19.90173"
"2017/10/28","8.112057","3.063091","2.754428","20.16793"
"2017/10/28","10.01138","2.98703","5.378091","14.91938"
"2017/10/28","18","3.084953","4.186514","16.47235"
"2017/10/27","18.53546","3.161028","6.842747","13.15856"
"2017/10/27","22.43146","3.186655","7.415368","24.46809"
"2017/10/27","18.56854","3.434727","12.16137","16.61711"
"2017/10/27","23.22742","3.180314","10.25991","24.75722"
"2017/10/27","24.54446","3.631764","9.359051","26.11231"
"2017/10/27","19.63764","3.132661","13.68676","27.7312"
"2017/10/27",,"2.99225","12.62844","42.83096"
"2017/10/27",,"2.977361","11.55001","45.29882"
"2017/10/27","9","2.929503","8.901898","51.47798"
"2017/10/27","9.340425","3.059997","6.438177","56.21919"
"2017/10/27","11.66006","3.174602","8.170614","50.30228"
"2017/10/27","8.320113","3.213339","9.522557","47.80533"
"2017/10/27","2.773371","3.349792","11.23745","43.17377"
"2017/10/27","1","3.350792","11.77033","41.53751"
"2017/10/27","1.113314","3.342655","17.3945","23.56843"
"2017/10/27","2.229137","3.245144","8.571641","44.41218"
"2017/10/27","3.656294","3.117047","2.75913","56.65636"
"2017/10/27","1","3.114075","1.420749","48.28652"
"2017/10/27","1.114569","3.118253","1.271079","54.32183"
"2017/10/27","2.108955","3.167317","1.653827","56.6177"
"2017/10/27","3.345257","3.168317","1.435125","58.09664"
"2017/10/27","6","2.974677","1.844025","66.67819"
"2017/10/27","6.342723","3.011825","3.107123","55.44432"
"2017/10/27","9.454828","2.985416","4.899937","45.53285"
"2017/10/26","13.11388","2.987211","6.96371","36.35581"
"2017/10/26","14.84592","2.974706","7.927122","24.31187"
"2017/10/26","21.90652","3.049192","10.0151","23.08446"
"2017/10/26","31.60623","3.029933","9.822065","22.12849"
"2017/10/26","52.11457","3.005113","9.903181","31.28087"
"2017/10/26","52.31259","3.089133","12.01932","35.7799"
"2017/10/26","46.08345","3.120322","10.08612","43.76765"
"2017/10/26","40.37482","3.229366","11.42981","43.89"
"2017/10/26","50.31259","3.086969","8.083089","52.95094"
"2017/10/26","46.13314","3.073272","6.481054","56.56055"
"2017/10/26","55.22631","3.050836","8.285536","52.37152"
"2017/10/26","59.60255","3.213902","8.926804","53.40183"
"2017/10/26","82.26308","3.299511","12.34528","44.60842"
"2017/10/26","97.34468","3.571019","20.04163","16.22906"
"2017/10/26","71.45879","4.97183","28.11761","3.611051"
"2017/10/26","35.54037","3.687816","17.06545","16.83359"
"2017/10/26","31.54037","3.225258","5.690358","35.34566"
"2017/10/26","29.26594","3.181372","4.540444","29.31507"
"2017/10/26","38.65421","3.227655","3.8113","41.60447"
"2017/10/26","35.76947","3.21515","3.709815","47.77988"
